지점,일시,평균,최고,최저
90,1993-06-01,17.1,30.1,10.6
90,1993-07-01,19.7,28.6,13.9
90,1993-08-01,21.3,29.6,15.9
90,1993-09-01,20.2,28.2,12.4
90,1993-10-01,14.2,27.6,2.5
90,1993-11-01,9.8,23,-5.2
90,1993-12-01,2.6,11.9,-7.6
90,1994-01-01,0.5,11.9,-9.8
90,1994-02-01,1.7,12.1,-10.6
90,1994-03-01,4.6,14.8,-5.6
90,1994-04-01,11.8,23.5,1
90,1994-05-01,17.2,29.9,7.2
90,1994-06-01,19.4,29.4,11.1
90,1994-07-01,26.8,35.3,18.7
90,1994-08-01,26,34.8,16.2
90,1994-09-01,20.8,30.9,11.9
90,1994-10-01,14.8,24.7,4.2
90,1994-11-01,10,22.3,-1.4
90,1994-12-01,3.7,16.6,-11.9
90,1995-01-01,0.1,12.5,-11.3
90,1995-02-01,2.1,12.7,-6.3
90,1995-03-01,5.2,17,-2.7
90,1995-04-01,11.5,23.1,0.2
90,1995-05-01,15.8,28.1,7.2
90,1995-06-01,17.7,27.1,10.8
90,1995-07-01,23.9,34.3,14.2
90,1995-08-01,25.4,34.3,15.2
90,1995-09-01,19.4,31.6,11.4
90,1995-10-01,15.6,25.1,4.9
90,1995-11-01,8.4,21.8,-2.5
90,1995-12-01,1.1,10.6,-10.3
90,1996-01-01,-0.4,9.3,-9.9
90,1996-02-01,0.1,17.4,-14.3
90,1996-03-01,4,16.5,-5.6
90,1996-04-01,11.2,31.4,-2.4
90,1996-05-01,14.2,31.2,6.7
90,1996-06-01,18,29.9,12.1
90,1996-07-01,22,34.6,12.8
90,1996-08-01,23,33.1,14.4
90,1996-09-01,20.2,29.2,12
90,1996-10-01,14.5,25.2,3
90,1996-11-01,7.4,21.2,-6.5
90,1996-12-01,3.8,15.1,-8.9
90,1997-01-01,-0.4,9.7,-9.7
90,1997-02-01,2,13.7,-5.8
90,1997-03-01,7,20.9,-3.1
90,1997-04-01,12.7,26.4,4.5
90,1997-05-01,16.2,27.4,6
90,1997-06-01,19.8,31.7,10.9
90,1997-07-01,24.2,33.3,17.8
90,1997-08-01,24.7,35.9,18.3
90,1997-09-01,18.4,33.6,10.6
90,1997-10-01,14.3,27,-0.3
90,1997-11-01,9.5,20.2,-1.5
90,1997-12-01,3,14.7,-10.1
90,1998-01-01,-0.1,10.3,-13.1
90,1998-02-01,2.8,14.6,-5.2
90,1998-03-01,8.6,24.3,-1.1
90,1998-04-01,13.4,32.1,1.3
90,1998-05-01,17,29,6.1
90,1998-06-01,18.4,30.6,10.1
90,1998-07-01,21.6,31.3,15.6
90,1998-08-01,23.1,31.4,17.8
90,1998-09-01,21.1,29.2,14.3
90,1998-10-01,16.8,23.7,7.4
90,1998-11-01,8.9,23.9,-5.8
90,1998-12-01,4.6,15.2,-5.4
90,1999-01-01,1.8,11.9,-10.8
90,1999-02-01,3,14.4,-10.4
90,1999-03-01,5.6,17.3,-5.5
